"filename","transformation_time_ns"
"Layered_Viewpoint.xml","2082200"
"Lazy Load.xml","3684000"
"LDT.xml","4311700"
"legend.xml","1016400"
"MAM.xml","1331100"
"Managed Object.xml","1730700"
"Mapper.xml","978000"
"MDD.xml","4486900"
"MDM.xml","1315900"
"Meldingsutveksling internt i forvaltningen.xml","6146900"
"Metadata Mapping.xml","2344600"
"metamodel.xml","8791100"
"Microservices Design Patterns - Saga Orchestration.xml","1778400"
"Minimum_login_feature.xml","1493000"
"Mobile Computing.xml","955300"
"Mobile Connected Device.xml","1217900"
"model.xml","605900"
"modelo1.xml","9205700"
"Money.xml","3081900"
"motivation_model.xml","1954400"
"MyWorkspace.xml","12599900"
"needless-compass.xml","1429400"
"NEO Architecture Reference Model for .NET Developers (neo-charm).xml","12953400"
"NewLightning.xml","7604000"
"NewPattern001 SaaS.xml","993800"
"NewPattern002 PaaS.xml","956200"
"NewPattern003 IaaS.xml","929600"
"NewPattern004 FromSupplierToCustomer.xml","7966800"
"nuevo academica.xml","12350600"
"nva_final_login_feature.xml","1439500"
"oas-core.xml","3462500"
"onix.xml","2309800"
"OpenDRR.xml","13697900"
"Optimistic Offline Lock.xml","2537800"
"Organic_Structure.xml","1858600"
"OwnBM.xml","2923100"
"PaaS.xml","1228500"
"Paczkomaty.xml","19816700"
"Page Controller.xml","2236000"
"PaladinFutureDesign.xml","5911100"
"papers.xml","396700"
"parser.xml","2734500"
"Pattern001 Repair and Maintenance.xml","1302200"
"Pattern007 Border Router Security Lockdown.xml","1041400"
"Pattern008 Tiered Distribution.xml","928000"
"Pattern011 Load balanced cluster.xml","773200"
"Pattern012 Failover Cluster.xml","771200"
"Pattern104 Basic process architecture pattern.xml","1555100"
"Pattern108 Fully automated business process pattern.xml","688600"
"Pattern116 Fully supported business process pattern Identification.xml","812500"
"Pattern141 PERSONALIZATION.xml","6615900"
"Pattern153 WEB PORTAL.xml","1286200"
"Pattern156 KNOWLEDGE BASE.xml","840200"
"Pattern157 RULE ENGINE.xml","1117200"
"Pattern159 BUSINESS PROCESS MANAGEMENT.xml","1160300"
"Pattern162 CASEMANAGEMENT.xml","976600"
"Pattern163 VIRTUAL DOSSIER.xml","1342900"
"Pattern166 BUSINESS INTELLIGENCE.xml","3963700"
"Pattern168 WorkTogether.xml","6778600"
"Pattern169 VendingMachine.xml","5889100"
"Pattern170 KnowYourCustomer.xml","9655700"
"Pattern171 Financials.xml","6559000"
"Pattern173 Resources are Scarce.xml","6000500"
"Pattern174 FromSupplierToCustomer.xml","6316200"
"Pattern179 YouHaveMail.xml","9384100"
"Pessimistic Offline Lock.xml","2327900"
"Plugin.xml","1740900"
"plutusIO.xml","3514300"
"Production Deployment.xml","2951700"
"PSN ModelMate for API Analysis3.xml","1701200"
"PSN ModelMate for API Analysis5.xml","3916400"
"PSN ModelMate for API Analysis6.xml","4175600"
"PSNModelMate1.xml","3120700"
"PSNModelMate2.xml","6249200"
"PSNModelMate3.xml","6142300"
"PSNModelMate4.xml","6611800"
"PSNModelMate5.xml","9335700"
"PSNModelMate6.xml","26618700"
"Pushmodel.xml","967900"
"pve.xml","3718000"
"Query Object.xml","3503900"
"Record Set.xml","3563100"
"Registry.xml","1776900"
"Remote Facade.xml","2930200"
"Report API.xml","3485100"
"Repository.xml","4976500"
"Return Freight.xml","3585600"
"Row Data Gateway.xml","2901100"
"SaaS.xml","1166300"
"Scheme.xml","2523600"
"Scratch.xml","809000"
"Scratch0.xml","1660900"
"Scratch1.xml","840500"
"Scratch2.xml","841300"
"Scratch3.xml","839600"
"Scratch4.xml","832600"
"Scratch5.xml","837400"
"Scratch6.xml","795100"
"SDS.xml","3203000"
"Separated Interface.xml","1044900"
"Serialized LOB.xml","3372200"
"Server Session State.xml","1823400"
"Service Locator.xml","2132100"
"ServiceNow.xml","4914200"
"signal-collector.xml","2138100"
"Single Table Inheritance.xml","2795000"
"SMAG V3.2.xml","16626200"
"SMAG V3.3.xml","34974500"
"SMAG V3.xml","39073200"
"SMAG V5.xml","36881800"
"SMAG V7.2.xml","43667200"
"SMAG V7.xml","44111300"
"SMAG8.xml","5320900"
"smava.xml","1032200"
"soa_architecture.xml","331100"
"Social Network.xml","1161000"
"Social Web Service.xml","1264100"
"solr.xml","1293600"
"solution-to-be-simple.xml","1894300"
"solution-to-be.xml","2666400"
"Sovrin Framework Architecture Reference Model (SOVRIN ARM).xml","11901700"
"Sovrin Governance Framework Architecture Reference Model (SOVRIN ARM).xml","14308400"
"Sovrin Governance Framework Architecture Reference Model (SOVRIN ARM)2.xml","17171200"
"Sovrin Governance Framework Architecture Reference Model (SOVRIN ARM)3.xml","17164300"
"SOVRIN-ARM.xml","8226000"
"Special Case.xml","1835300"
"Sustainable patterns.xml","12554400"
"Table Data Gateway.xml","2174100"
"Table Module.xml","1402100"
"Tembea.xml","1992400"
"Template View.xml","2476000"
"Test Data.xml","946600"
"Test DeleteHandler.xml","1162800"
"Test Model.xml","782500"
"test-doc.xml","615700"
"Test1.xml","987100"
"Test6a.xml","7351200"
"Test6d.xml","8966100"
"Test6e.xml","14881200"
"testbed-jarchi-scripts.xml","5651400"
"testFindReplace.xml","1066200"
"The application layer coordinates the work between contexts.xml","4382100"
"TOOP Architecture.xml","13359200"
"TOOP Architecture1.xml","18513300"
"TOOP Architecture2.xml","19196100"
"TOOP Trust & Technical Architecture.xml","13595700"
"toop-framework.xml","1606400"
"toop-goopra-2-3.xml","33915800"
"TOOP-GOOPRA.xml","32753300"
"TOOP-RefModel.xml","1808900"
"Topcalc.xml","1233800"
"Transaction Script.xml","1058600"
"Transform View.xml","2576100"
"transformed","394000"
"Tutorial ArchiMate.xml","2521500"
"Two Step View.xml","2484300"
"Types of consistency.xml","2127800"
"Unit of Work.xml","3151500"
"V2.xml","2578400"
"Value Object.xml","2149500"
"Web Application.xml","1130500"
"Web Service Application.xml","1475200"
"Web Service.xml","1192200"
"web-resources.xml","927100"
"wfmc_reference_architecture.xml","2755100"
"wm-system.xml","5679700"
"Xerofone.xml","5481100"
"Yodata.xml","1903900"
"ZDS 2.0.xml","5015800"
